Original, Analysed, Paragraph_Original, Paragraph_Analysed, N_words_Original, N_words_Analysed, N_words_LCS, Score
orig_taskd.txt, g0pA_taskd.txt, 5, 1, 9, 51, 5, 0.5555555555555556
orig_taskd.txt, g0pA_taskd.txt, 5, 2, 9, 142, 4, 0.4444444444444444
orig_taskd.txt, g0pA_taskd.txt, 1, 3, 0, 0, 0, 0
orig_taskd.txt, g0pB_taskd.txt, 2, 1, 23, 45, 12, 0.5217391304347826
orig_taskd.txt, g0pB_taskd.txt, 7, 2, 22, 34, 19, 0.8636363636363636
orig_taskd.txt, g0pB_taskd.txt, 4, 3, 29, 36, 21, 0.7241379310344828
orig_taskd.txt, g0pB_taskd.txt, 5, 4, 9, 9, 9, 1.0
orig_taskd.txt, g0pB_taskd.txt, 5, 5, 9, 19, 4, 0.4444444444444444
orig_taskd.txt, g0pB_taskd.txt, 6, 6, 15, 15, 11, 0.7333333333333333
orig_taskd.txt, g0pB_taskd.txt, 5, 7, 9, 50, 5, 0.5555555555555556
orig_taskd.txt, g0pB_taskd.txt, 1, 8, 0, 0, 0, 0
orig_taskd.txt, g0pC_taskd.txt, 2, 1, 23, 58, 13, 0.5652173913043478
orig_taskd.txt, g0pC_taskd.txt, 1, 2, 157, 92, 78, 0.4968152866242038
orig_taskd.txt, g0pC_taskd.txt, 1, 3, 0, 0, 0, 0
orig_taskd.txt, g0pD_taskd.txt, 5, 1, 9, 33, 3, 0.3333333333333333
orig_taskd.txt, g0pE_taskd.txt, 5, 1, 9, 63, 4, 0.4444444444444444
orig_taskd.txt, g0pE_taskd.txt, 1, 2, 0, 0, 0, 0
orig_taskd.txt, g1pA_taskd.txt, 5, 1, 9, 242, 6, 0.6666666666666666
orig_taskd.txt, g1pA_taskd.txt, 1, 2, 0, 0, 0, 0
orig_taskd.txt, g1pB_taskd.txt, 5, 1, 9, 182, 7, 0.7777777777777778
orig_taskd.txt, g1pB_taskd.txt, 1, 2, 0, 0, 0, 0
orig_taskd.txt, g1pD_taskd.txt, 5, 1, 9, 146, 8, 0.8888888888888888
orig_taskd.txt, g2pA_taskd.txt, 2, 1, 23, 62, 13, 0.5652173913043478
orig_taskd.txt, g2pA_taskd.txt, 5, 2, 9, 111, 4, 0.4444444444444444
orig_taskd.txt, g2pA_taskd.txt, 5, 3, 9, 52, 6, 0.6666666666666666
orig_taskd.txt, g2pA_taskd.txt, 5, 4, 9, 47, 4, 0.4444444444444444
orig_taskd.txt, g2pA_taskd.txt, 5, 5, 9, 27, 4, 0.4444444444444444
orig_taskd.txt, g2pA_taskd.txt, 5, 6, 9, 29, 6, 0.6666666666666666
orig_taskd.txt, g2pB_taskd.txt, 1, 1, 157, 106, 95, 0.6050955414012739
orig_taskd.txt, g2pB_taskd.txt, 1, 2, 157, 48, 46, 0.2929936305732484
orig_taskd.txt, g2pB_taskd.txt, 2, 3, 23, 19, 18, 0.782608695652174
orig_taskd.txt, g2pB_taskd.txt, 3, 4, 36, 33, 31, 0.8611111111111112
orig_taskd.txt, g2pB_taskd.txt, 4, 5, 29, 29, 28, 0.9655172413793104
orig_taskd.txt, g2pB_taskd.txt, 5, 6, 9, 9, 9, 1.0
orig_taskd.txt, g2pB_taskd.txt, 5, 7, 9, 4, 2, 0.2222222222222222
orig_taskd.txt, g2pB_taskd.txt, 1, 8, 0, 0, 0, 0
orig_taskd.txt, g2pC_taskd.txt, 5, 1, 9, 25, 4, 0.4444444444444444
orig_taskd.txt, g2pC_taskd.txt, 5, 2, 9, 212, 9, 1.0
orig_taskd.txt, g2pE_taskd.txt, 5, 1, 9, 161, 6, 0.6666666666666666
orig_taskd.txt, g3pA_taskd.txt, 2, 1, 23, 62, 13, 0.5652173913043478
orig_taskd.txt, g3pA_taskd.txt, 1, 2, 157, 92, 92, 0.5859872611464968
orig_taskd.txt, g3pA_taskd.txt, 2, 3, 23, 25, 21, 0.9130434782608695
orig_taskd.txt, g3pA_taskd.txt, 3, 4, 36, 36, 36, 1.0
orig_taskd.txt, g3pA_taskd.txt, 4, 5, 29, 29, 29, 1.0
orig_taskd.txt, g3pA_taskd.txt, 5, 6, 9, 9, 9, 1.0
orig_taskd.txt, g3pA_taskd.txt, 6, 7, 15, 15, 15, 1.0
orig_taskd.txt, g3pA_taskd.txt, 7, 8, 22, 22, 22, 1.0
orig_taskd.txt, g3pB_taskd.txt, 2, 1, 23, 132, 13, 0.5652173913043478
orig_taskd.txt, g3pC_taskd.txt, 5, 1, 9, 32, 3, 0.3333333333333333
orig_taskd.txt, g3pC_taskd.txt, 5, 2, 9, 29, 4, 0.4444444444444444
orig_taskd.txt, g3pC_taskd.txt, 5, 3, 9, 43, 8, 0.8888888888888888
orig_taskd.txt, g4pB_taskd.txt, 5, 1, 9, 63, 5, 0.5555555555555556
orig_taskd.txt, g4pB_taskd.txt, 2, 2, 23, 70, 21, 0.9130434782608695
orig_taskd.txt, g4pB_taskd.txt, 5, 3, 9, 38, 9, 1.0
orig_taskd.txt, g4pB_taskd.txt, 6, 4, 15, 13, 9, 0.6
orig_taskd.txt, g4pB_taskd.txt, 7, 5, 22, 22, 15, 0.6818181818181818
orig_taskd.txt, g4pB_taskd.txt, 1, 6, 0, 0, 0, 0
orig_taskd.txt, g4pC_taskd.txt, 3, 1, 36, 284, 36, 1.0
orig_taskd.txt, g4pC_taskd.txt, 1, 2, 0, 0, 0, 0
orig_taskd.txt, g4pD_taskd.txt, 5, 1, 9, 223, 5, 0.5555555555555556
orig_taskd.txt, g4pE_taskd.txt, 5, 1, 9, 202, 6, 0.6666666666666666
orig_taske.txt, g0pA_taske.txt, 6, 1, 14, 61, 5, 0.35714285714285715
orig_taske.txt, g0pA_taske.txt, 6, 2, 14, 14, 3, 0.21428571428571427
orig_taske.txt, g0pA_taske.txt, 5, 3, 10, 7, 2, 0.2
orig_taske.txt, g0pA_taske.txt, 6, 4, 14, 14, 3, 0.21428571428571427
orig_taske.txt, g0pA_taske.txt, 6, 5, 14, 8, 4, 0.2857142857142857
orig_taske.txt, g0pA_taske.txt, 6, 6, 14, 29, 3, 0.21428571428571427
orig_taske.txt, g0pA_taske.txt, 8, 7, 21, 52, 5, 0.23809523809523808
orig_taske.txt, g0pB_taske.txt, 1, 1, 34, 86, 21, 0.6176470588235294
orig_taske.txt, g0pB_taske.txt, 4, 2, 86, 92, 62, 0.7209302325581395
orig_taske.txt, g0pB_taske.txt, 5, 3, 10, 14, 4, 0.4
orig_taske.txt, g0pB_taske.txt, 6, 4, 14, 14, 9, 0.6428571428571429
orig_taske.txt, g0pB_taske.txt, 7, 5, 25, 27, 15, 0.6
orig_taske.txt, g0pC_taske.txt, 1, 1, 34, 26, 21, 0.6176470588235294
orig_taske.txt, g0pC_taske.txt, 2, 2, 81, 71, 64, 0.7901234567901234
orig_taske.txt, g0pC_taske.txt, 3, 3, 67, 54, 50, 0.746268656716418
orig_taske.txt, g0pD_taske.txt, 8, 1, 21, 56, 4, 0.19047619047619047
